,index,date,name,title_text,content_text,link,date_b,condor,guarda,disparo,matou,morto,mortos,morte,morreu,feriu,bala,fatal,não letal,não-letal,não letais,não-letais
101,91,27/09/2023 07h01,G1,Metralhadoras caseiras: Apreensões de armas de fogo clandestina...,"... em segurança pública são os armamentos caseiros, que além de não serem rastreados podem ser ainda mais letais na comparação com uma arma... — ... de 2,6 mil armas de fogo foram apreendidas este ano no Espírito Santo, mas o que tem preocupado autoridades e especialistas...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=92&r=1721082979618&u=https%3A%2F%2Fg1.globo.com%2Fes%2Fespirito-santo%2Fnoticia%2F2023%2F09%2F27%2Fmetralhadoras-caseiras-apreensoes-de-armas-de-fogo-clandestinas-aumentam-no-es.ghtml&syn=False&key=620b62cba9f2ea1d2fc57f6abb50c85f,2023-09-27 07:01:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,11,03/09/2023 16h45,G1,"'Uso da força por agentes públicos deve ser escalonado', diz es...","Fragmentos da bala de borracha
Fernando Moreira/Buritis News
As armas não-letais, como balas de borracha, spray de pimenta e gás... — .... 
Segundo o secretário de Segurança de Mogi, Toriel Sardinha, o protocolo de segurança de uso de arma não-letal foi seguido...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=12&r=1721093759461&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fmogi-das-cruzes-suzano%2Fnoticia%2F2023%2F08%2F28%2Fuso-da-forca-por-agentes-publicos-deve-ser-escalonado-diz-especialista-em-direitos-humanos-sobre-acoes-de-gcms-com-armas-nao-letais.ghtml&syn=False&key=b845ef3a774ebd7f0c15b3d44f9bc18f,2023-09-03 16:45:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
103,9,03/09/2023 11h40,O Globo,GSI ainda não recuperou armas não-letais roubadas no 8 de janei...,"... de janeiro, o Gabinete de Segurança Institucional ainda não recuperou as oito armas não-letais levadas pelos invasores. 
CPI de 8...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=10&r=1721093759451&u=https%3A%2F%2Foglobo.globo.com%2Fblogs%2Flauro-jardim%2Fpost%2F2023%2F09%2Fgsi-ainda-nao-recuperou-armas-nao-letais-roubadas-no-8-de-janeiro.ghtml&syn=False&key=acbfd208ae33d9e8b70d0fbaceacc06b,2023-09-03 11:40:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
104,7,28/08/2023 16h36,Diário TV 1ª Edição,Destaque do g1: Armas não letais devem ter protocolos para sere...,"Segundo Adilson Paes de Souza, tenente-coronel aposentado da Polícia Militar, o ""uso da força por agentes públicos deve ser escalonado"".",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=8&r=1721093759442&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11901103%2F&syn=False&key=10e6cf783115428d453dc9ecd739ca8a,2023-08-28 16:36:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,114,11/08/2023 15h46,O Globo,Candidata à Assembleia Nacional é alvo de ataque um dia após as...,"... com uma pistola traumática"", ou seja, uma arma ""não letal"", ""concebida para causar ao agredido um trauma físico muito doloroso...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=115&r=1721082980059&u=https%3A%2F%2Foglobo.globo.com%2Fmundo%2Fnoticia%2F2023%2F08%2F11%2Fcandidata-a-assembleia-nacional-e-alvo-de-ataque-um-dia-depois-de-assassinato-de-presidenciavel-no-equador.ghtml&syn=False&key=0077de77914050ff7fb3b3a0e928858d,2023-08-11 15:46:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
106,40,08/08/2023 09h36,Bom Dia Amazônia - AP,Uso de armas letais: guardas Civis de Laranjal do Jari treinam ...,Uso de armas letais: guardas Civis de Laranjal do Jari treinam para o uso de armas.,//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=41&r=1721082978775&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11846846%2F&syn=False&key=071344839ec4300791ee04d88840a95c,2023-08-08 09:36:00.000000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,44,29/07/2023 23h23,globoesporte.com,Árbitro “derruba” jogador do Atlético-GO e arma contra-ataque l...,"... da Série B. Aos 45 minutos, o volante Gabriel Baralhas, do Dragão tropeçou no árbitro Felipe Fernandes de Lima na entrada da área (veja...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=45&r=1721082978789&u=https%3A%2F%2Fge.globo.com%2Fgo%2Ffutebol%2Ftimes%2Fatletico-go%2Fnoticia%2F2023%2F07%2F29%2Farbitro-derruba-jogador-do-atletico-go-e-arma-contra-ataque-letal-para-o-sampaio-correa-video.ghtml&syn=False&key=8042fd9f8f5fb6b8717c7a25d3d4b7bd,2023-07-29 23:23:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,117,26/07/2023 00h39,G1,Arsenal apreendido com 28 fuzis vale quase R$ 1 milhão; trafica...,"Armas foram apreendidas em loja irregular em Dourados. 
Polícia Civil/Reprodução
Ao todo, 28 fuzis foram apreendidos em operação... — ... do Departamento de Repressão à Corrupção e ao Crime Organizado (Dracco), nesta terça-feira (25), em Dourados (MS). Além das armas...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=118&r=1721082980067&u=https%3A%2F%2Fg1.globo.com%2Fms%2Fmato-grosso-do-sul%2Fnoticia%2F2023%2F07%2F25%2Farsenal-apreendido-com-28-fuzis-vale-quase-r-1-milhao-traficante-era-cliente-de-loja-irregular.ghtml&syn=False&key=8bb07b03392221f487cb7c8266880ff1,2023-07-26 00:39:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,12,18/05/2023 19h27,G1,Sete presos são levados para atendimento em UPA após uso de arm...,"... não letal precisou ser utilizado no caso de detentos que se recusaram a seguir o procedimento. Não houve registro de rebelião... — ... levados para atendimento em UPA após uso de equipamentos não letais durante fiscalização em cadeia de Guarapuava
William Batista...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=13&r=1721093759465&u=https%3A%2F%2Fg1.globo.com%2Fpr%2Fcampos-gerais-sul%2Fnoticia%2F2023%2F05%2F18%2Fsete-presos-sao-levados-para-atendimento-em-upa-apos-uso-de-armas-nao-letais-durante-fiscalizacao-em-cadeia-de-guarapuava.ghtml&syn=False&key=cb54214ed7007a1df1315138c5f058a9,2023-05-18 19:27:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
110,49,18/04/2023 21h15,G1,"Airsoft: arma usada em curso de tiro para crianças não é letal,...","Airsoft: arma usada em curso de tiro para crianças não é letal, mas pode cegar
Um vídeo de divulgação do curso para mirins... — ... por segundo. Não são consideradas letais, mas podem machucar e até cegar uma pessoa. 
“Me chocou ver crianças apontando armas muito...",sem link,2023-04-18 21:15:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
