,date,name,title_text,content_text,link
94,13.mai.2021 às 20h21,Folha de S.Paulo - Cotidiano,"Em São Paulo, ato contra racismo lembra vítimas de violência policial","Agentes com armas de bala de borracha e câmeras corporais, um projeto piloto da Secretaria de Segurança Pública de SP, estavam presentes. ...",https://www1.folha.uol.com.br/cotidiano/2021/05/em-sao-paulo-ato-antirracismo-lembra-vitimas-de-violencia-policial.shtml
95,7.mai.2021 às 16h51,Folha de S.Paulo - Mundo,Confronto em Jerusalém após protestos com milhares de pessoas deixa 184 feridos,"De acordo com a ONG Crescente Vermelho, ao menos um palestino foi ferido no olho por uma bala de borracha e outro foi atingido na cabeça por um projétil similar. ...",https://www1.folha.uol.com.br/mundo/2021/05/protesto-de-palestinos-contra-despejos-termina-em-confronto-com-a-policia-em-jerusalem.shtml
96,27.mar.2021 às 9h14,Folha de S.Paulo - Mundo,Forças Armadas de Mianmar matam ao menos 114 em dia mais sangrento desde golpe,de borracha no olho. ...,https://www1.folha.uol.com.br/mundo/2021/03/forcas-de-seguranca-de-mianmar-matam-mais-de-90-pessoas-no-dia-das-forcas-armadas.shtml
97,16.mar.2021 às 14h00,Folha - Colunistas - Marcelo Coelho,"Onda global de protestos vem aí, com ou sem pandemia de Covid-19","Ninguém foi morto, ninguém teve traumatismo craniano ou perdeu um olho com tiros de bala de borracha.
Também não é a polícia americana. ...",https://www1.folha.uol.com.br/colunas/marcelocoelho/2021/03/onda-global-de-protestos-vem-ai-com-ou-sem-pandemia-de-covid-19.shtml
98,8.mar.2021 às 20h57,Folha de S.Paulo - Mundo,"Sob pressão das ruas, partido decide pedir afastamento de presidente do Paraguai","Os participantes do protesto atiraram pedras, gerando uma resposta das forças de segurança com alguns tiros de bala de borracha. ...",https://www1.folha.uol.com.br/mundo/2021/03/sob-pressao-das-ruas-partido-decide-pedir-afastamento-de-abdo-benitez.shtml
99,17.fev.2021 às 18h34,Folha de S.Paulo - Mundo,Atos ganham força em Mianmar após militares dizerem que população apoia golpe,Um voluntário local foi atingido na perna pelo que parece ter sido uma bala de borracha. ...,https://www1.folha.uol.com.br/mundo/2021/02/atos-ganham-forca-em-mianmar-apos-militares-dizerem-que-populacao-apoia-golpe.shtml
100,12.fev.2021 às 12h57,Folha de S.Paulo - Mundo,"Mianmar tem sétimo dia de protestos, e militares já prenderam 350 opositores","Na cidade de Mawlamyine, no sudeste do país, manifestantes atiraram pedras na polícia, que revidou com tiros de bala de borracha para dispersar a multidão de dezenas de milhares, contou Kyaw ...",https://www1.folha.uol.com.br/mundo/2021/02/mianmar-tem-setimo-dia-de-protestos-e-militares-ja-prenderam-350-opositores.shtml
101,3.fev.2021 às 8h00,Folha de S.Paulo - Cotidiano,"Saúde vira principal reclamação nas prisões de SP, onde paciente de Covid só recebe paracetamol","de borracha, ou ainda sacolas na cabeça, toalhas molhadas, extintor de incêndio, chicote, fio de cobre e cordas. ...",https://www1.folha.uol.com.br/cotidiano/2021/02/saude-vira-principal-reclamacao-nas-prisoes-de-sp-e-paracetamol-e-unico-remedio-oferecido-contra-covid.shtml
102,27.nov.2020 às 14h05,Folha de S.Paulo - Esporte,Velório de Maradona gera críticas por vandalismo e descaso com pandemia,"Afirmou, por meio do ministro do Interior, Wado de Pedro, que os tiros de bala de borracha e as bombas de gás lacrimogêneo que tentaram dispersar a multidão que pulava as cercas da Casa Rosada ...",https://www1.folha.uol.com.br/esporte/2020/11/velorio-de-maradona-gera-criticas-por-vandalismo-e-descaso-com-pandemia.shtml
103,26.nov.2020 às 7h24,Folha de S.Paulo - Esporte,"Após velório caótico na Casa Rosada, Maradona é enterrado","A polícia interveio com gás lacrimogêneo e tiros de bala de borracha. ""Diego é do povo! Deixem-nos entrar"", gritavam os presentes. ...",https://www1.folha.uol.com.br/esporte/2020/11/velorio-de-maradona-na-casa-rosada-comeca-com-aglomeracao-e-tumulto.shtml
104,14.nov.2020 às 13h31,Folha de S.Paulo - Cotidiano,"PM do Amapá adota balas de borracha em protestos, pelo menos cinco se ferem",de borracha no globo ocular. ...,https://www1.folha.uol.com.br/cotidiano/2020/11/pm-do-amapa-adota-balas-de-borracha-em-protestos-pelo-menos-cinco-se-ferem.shtml
