,index,date,name,title_text,content_text,date_b,condor,guarda,disparo,matou,morto,mortos,morte,morreu,feriu,bala,fatal,não letal,não-letal,não letais,não-letais
29,44,há 1 dia,extra,"Solta após pagar fiança, esposa de Nego Di critica quem celebro...","... dela e do marido, Nego Di. A influenciadora foi presa em flagrante, na última sexta-feira, dia 12, por porte de arma de uso... — ... esquema fraudulento de venda de rifas e lavagem de dinheiro. Sozinha, ela foi presa em flagrante após ser encontrada com uma arma...",2024-07-14 16:49:33.199818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,há 1 dia,G1,Suspeito de portar arma em jogo de futebol e atirar contra guar...,"Arma apreendida pela GCM na ação
GCM de Cosmópolis
Um rapaz de 24 anos morreu baleado durante uma uma intervenção da Guarda Civil... — ... Médico Legal (IML) e o caso foi encaminhado para registro na Polícia Civil. 
VÍDEOS: Tudo sobre Piracicaba e região
Veja mais notícias da região no g1 Piracicaba...",2024-07-14 16:49:33.187868,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,3,há 1 dia,epocanegocios,"Fuzil usado contra Trump, AR-15 foi a arma mais utilizada em ch...","... National Rifle Association (NRA, associação que defende o amplo acesso a armas de fogo), o AR-15 está no centro do debate armamentista... — ... por extremistas em solo americano.
O AR-15 voltou a entrar no mercado de armas após o fim da proibição federal de armas de assalto em 2004...",2024-07-14 16:49:33.161076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,130,há 2 dias,G1,'Projeto Star Wars': Coreia do Sul vai usar armas a laser contr...,"... começar a utilizar armas a laser a partir deste ano para derrubar os drones enviados pelo ditador norte-coreano Kim Jong-un, anunciou... — ... a agência de fornecimento de armas do país à AFP nesta sexta-feira (12).
As novas armas, chamadas de ""Projeto Star Wars"" por Seul...",2024-07-13 16:49:33.271328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,114,há 2 dias,G1,Foragido da Justiça por estupro de vulnerável e posse ilegal de...,"... bairro Cantagalo.
Segundo a Polícia Militar, dois mandados de prisão foram expedidos contra ele, um referente à posse de arma...",2024-07-13 16:49:33.254182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,112,há 2 dias,G1,Homem é preso suspeito de abusar e ameaçar criança de 10 anos c...,"Homem é preso suspeito de abusar e ameaçar criança de 10 anos com arma de fogo no interior de SP
TV TEM/Reprodução
Um homem de 47... — ... anos foi preso, na noite de sexta-feira (12), suspeito de ameaçar uma criança de 10 anos com uma arma de fogo e abusar...",2024-07-13 16:49:33.254182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,106,há 2 dias,O Globo,Senado deve resistir à ofensiva do governo para incluir armas d...,"Senadores de oposição e centro devem resistir à ofensiva do governo para incluir armas de fogo e munições no Imposto Seletivo... — ... da matéria e rejeitado um dos destaques que pedia a inclusão das armas no imposto seletivo. O pedido era da bancada do PSOL, mas não teve...",2024-07-13 16:49:33.251383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,105,há 2 dias,O Globo,Governo vai ‘lutar’ no Senado para incluir armas na lista do 'i...,"... armas de fogo na lista do Imposto seletivo, o chamado “imposto do pecado”, a taxa extra para itens prejudiciais à saúde ou ao meio... — ... ambiente.
— Vamos lutar no Senado para um volte com o imposto seletivo às armas — disse o ministro em evento realizado nesta sexta...",2024-07-13 16:49:33.250336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,97,há 2 dias,O Globo,"Sem 'imposto do pecado', armamentos teriam redução de mais de 7...","...% e PIS/Cofins de 9,25%. 
Armamento
Criação O Globo
No total a alíquota legal que incide atualmente para armas é de 89,25... — ... para o setor vai tornar a arma de fogo mais acessível no mercado legal e no paralelo, avalia Roberto Uchôa, conselheiro do Fórum...",2024-07-13 16:49:33.244059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,64,há 2 dias,G1,Esposa de Nego Di presa em operação portava arma de uso restrit...,"Mulher de Nego Di presa em operação portava arma das Forças Armadas, diz MP
A influencer Gabriela Sousa, mulher... — ...).
Além da arma e da munição, dois veículos de luxo dos investigados foram sequestrados, conforme o promotor responsável pela...",2024-07-13 16:49:33.217615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,63,há 2 dias,G1,"Esposa de Nego Di, presa com arma de uso restrito das Forças Ar...","Mulher de Nego Di presa em operação portava arma das Forças Armadas, diz MP
A influencer Gabriela Vicente de Sousa, mulher... — ... por ela possuir arma de fogo, acessório e munição de uso restrito, sem autorização e em desacordo com o artigo 16 da lei número 10.826...",2024-07-13 16:49:33.216483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,57,há 2 dias,gshow,No Rancho Fundo: Deodora transa com Vespertino após apontar arm...,"No Rancho Fundo: Deodora transa com Vespertino após apontar arma para o sócio
Vespertino (Thardelly Lima) vai realizar um sonho... — ... se beijam em No Rancho Fundo
Globo
No Rancho Fundo: Vespertino manda Jordão matar Tico Leonel
Deodora vai ver uma arma na cintura...",2024-07-13 16:49:33.205262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,58,há 2 dias,No Rancho Fundo,Vespertino vai atrás de Seu Tico Leonel com a arma em punho,Ele sai armado do encontro com Jordão,2024-07-13 16:49:33.205262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,33,há 2 dias,Techtudo,Veja 12 filmes distópicos da Netflix para maratonar e ter medo ...,"... ainda pior.
Além do retorno de Ford à franquia, o longa é estrelado por Ryan Gosling (Barbie), Ana de Armas (Blonde), Dave Bautista (Army... — ... da tecnologia, não é nada promissor. Maze Runner (2014) e Jogos Vorazes (2012) narram competições letais entre adolescentes...",2024-07-13 16:49:33.188867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,147,há 3 dias,G1,Polícia apreende carros de luxo e arma com suspeito de desviar ...,"Arma e documentos são apreendidos em operação contra desvios contra universidade em Alagoas
Polícia Civil de Alagoas
Dois carros... — ... de luxo, uma arma e vários cartões de créditos foram apreendidos nesta sexta-feira (12) durante operação da Polícia Civil...",2024-07-12 16:49:33.291110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,140,há 3 dias,G1,"Seis fuzis, submetralhadora e mais de mil munições são encontra...","... Pública fala sobre maior apreensão de armas na BA em 2024
As investigações da polícia apontaram áreas de difícil acesso que as armas... — ...). Não houve prisões.
Segundo o Depom, essa foi a maior apreensão de armas na Bahia neste ano.
“Nós chegamos em três locais atrás desse...",2024-07-12 16:49:33.283101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,131,há 3 dias,O Globo,Suspeito de matar mulher e filhas de comentarista da BBC com ar...,"O suspeito que matou uma mãe e duas de suas filhas com uma besta no norte de Londres, na Inglaterra, permanece em estado “grave” após ser encontrado ferido na quarta-feira e não pôde ser interrogado, disse a polícia britânica nesta quinta-feira. Kyle Clifford,...",2024-07-12 16:49:33.272319,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,126,há 3 dias,Techtudo,15 filmes com finais chocantes que deixaram todo mundo de queix...,"... de forma circular; não linear, se tornando uma arma para a humanidade daqui a milhares de anos. Quando passar a entender a língua... — ... que grande parte do que Lily fez foi invenção da sua cabeça e o corte letal foi dado na própria barriga. Nina acaba o espetáculo...",2024-07-12 16:49:33.268318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,119,há 3 dias,G1,Alckmin critica decisão da Câmara de deixar armas de fogo de fo...,"...) como ""ruim"" decisão da Câmara dos Deputados de deixar armas de fogo e munições de fora dos itens que serão sobretaxados com o chamado... — ... (10), os deputados rejeitaram um destaque que incluía armas e munições na lista dos produtos que serão tributados com o imposto...",2024-07-12 16:49:33.254182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,116,há 3 dias,G1,Abordagem da PF termina com apreensão de drogas e arma em Ipati...,"PF prende homem em flagrante por tráfico de drogas em Ipatinga.
Polícia Federal/Divulgação
PF prende homem em flagrante por tráfico de drogas em Ipatinga.
Polícia Federal/Divulgação
Um homem foi preso em flagrante, na noite dessa quinta-feira (11), em Ipatinga...",2024-07-12 16:49:33.254182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
