,index,date,name,title_text,content_text,link,date_b
173,189,20.jun.2013 às 11h06,Folha de S.Paulo - BBC Brasil,Protestos impulsionam indústria do gás lacrimogêneo,"Ambas as organizações sustentam que não é preciso ser mais velho ou estar grávida para sentir efeitos ""irreversíveis"" dessas armas não letais. ...",http://www1.folha.uol.com.br/bbc/2013/06/1298165-protestos-impulsionam-industria-do-gas-lacrimogeneo.shtml,2013-06-20
174,45,20.jun.2013 às 11h06,Folha de S.Paulo - BBC Brasil,Protestos impulsionam indústria do gás lacrimogêneo,"Ambas as organizações sustentam que não é preciso ser mais velho ou estar grávida para sentir efeitos ""irreversíveis"" dessas armas não letais. ...",http://www1.folha.uol.com.br/bbc/2013/06/1298165-protestos-impulsionam-industria-do-gas-lacrimogeneo.shtml,2013-06-20
175,118,14.jun.2013 às 15h32,Folha de S.Paulo - São Paulo,PM usou gás lacrimogêneo vencido para dispersar manifestação em SP,"Paulista (centro) durante manifestação no dia 11/6



A informação está impressa no corpo do projétil, produzido pela brasileira Condor Tecnologias Não-Letais. ...",http://www1.folha.uol.com.br/saopaulo/2013/06/1295110-pm-usou-gas-lacrimogeneo-vencido-para-dispersar-manifestacao-em-sp.shtml,2013-06-14
176,22,14.jun.2013 às 15h32,Folha de S.Paulo - São Paulo,PM usou gás lacrimogêneo vencido para dispersar manifestação em SP,"Paulista (centro) durante manifestação no dia 11/6



A informação está impressa no corpo do projétil, produzido pela brasileira Condor Tecnologias Não-Letais. ...",http://www1.folha.uol.com.br/saopaulo/2013/06/1295110-pm-usou-gas-lacrimogeneo-vencido-para-dispersar-manifestacao-em-sp.shtml,2013-06-14
177,94,14.jun.2013 às 15h32,Folha de S.Paulo - São Paulo,PM usou gás lacrimogêneo vencido para dispersar manifestação em SP,"Paulista (centro) durante manifestação no dia 11/6



A informação está impressa no corpo do projétil, produzido pela brasileira Condor Tecnologias Não-Letais. ...",http://www1.folha.uol.com.br/saopaulo/2013/06/1295110-pm-usou-gas-lacrimogeneo-vencido-para-dispersar-manifestacao-em-sp.shtml,2013-06-14
178,190,14.jun.2013 às 15h32,Folha de S.Paulo - São Paulo,PM usou gás lacrimogêneo vencido para dispersar manifestação em SP,"Paulista (centro) durante manifestação no dia 11/6



A informação está impressa no corpo do projétil, produzido pela brasileira Condor Tecnologias Não-Letais. ...",http://www1.folha.uol.com.br/saopaulo/2013/06/1295110-pm-usou-gas-lacrimogeneo-vencido-para-dispersar-manifestacao-em-sp.shtml,2013-06-14
179,70,14.jun.2013 às 15h32,Folha de S.Paulo - São Paulo,PM usou gás lacrimogêneo vencido para dispersar manifestação em SP,"Paulista (centro) durante manifestação no dia 11/6



A informação está impressa no corpo do projétil, produzido pela brasileira Condor Tecnologias Não-Letais. ...",http://www1.folha.uol.com.br/saopaulo/2013/06/1295110-pm-usou-gas-lacrimogeneo-vencido-para-dispersar-manifestacao-em-sp.shtml,2013-06-14
180,214,14.jun.2013 às 15h32,Folha de S.Paulo - São Paulo,PM usou gás lacrimogêneo vencido para dispersar manifestação em SP,"Paulista (centro) durante manifestação no dia 11/6



A informação está impressa no corpo do projétil, produzido pela brasileira Condor Tecnologias Não-Letais. ...",http://www1.folha.uol.com.br/saopaulo/2013/06/1295110-pm-usou-gas-lacrimogeneo-vencido-para-dispersar-manifestacao-em-sp.shtml,2013-06-14
181,238,14.jun.2013 às 15h32,Folha de S.Paulo - São Paulo,PM usou gás lacrimogêneo vencido para dispersar manifestação em SP,"Paulista (centro) durante manifestação no dia 11/6



A informação está impressa no corpo do projétil, produzido pela brasileira Condor Tecnologias Não-Letais. ...",http://www1.folha.uol.com.br/saopaulo/2013/06/1295110-pm-usou-gas-lacrimogeneo-vencido-para-dispersar-manifestacao-em-sp.shtml,2013-06-14
182,166,14.jun.2013 às 15h32,Folha de S.Paulo - São Paulo,PM usou gás lacrimogêneo vencido para dispersar manifestação em SP,"Paulista (centro) durante manifestação no dia 11/6



A informação está impressa no corpo do projétil, produzido pela brasileira Condor Tecnologias Não-Letais. ...",http://www1.folha.uol.com.br/saopaulo/2013/06/1295110-pm-usou-gas-lacrimogeneo-vencido-para-dispersar-manifestacao-em-sp.shtml,2013-06-14
