,index,date,name,title_text,content_text,link,date_b
82,99,23.abr.2007 à 0h00,,Voluntários fazem fila para levar choque em feira de material bélico no Rio,"Eu dou um 
choque de 50 mil volts e o cara me agradece"", diz Eduardo Terra, instrutor no funcionamento da pistola Taser, 
uma arma não-letal para uso 
da polícia e das Forças Armadas que causava ...",http://www1.folha.uol.com.br/fsp/brasil/fc2304200714.htm,2007-04-23
83,45,23.abr.2007 à 0h00,,Voluntários fazem fila para levar choque em feira de material bélico no Rio,"Eu dou um 
choque de 50 mil volts e o cara me agradece"", diz Eduardo Terra, instrutor no funcionamento da pistola Taser, 
uma arma não-letal para uso 
da polícia e das Forças Armadas que causava ...",http://www1.folha.uol.com.br/fsp/brasil/fc2304200714.htm,2007-04-23
84,87,23.abr.2007 à 0h00,,Voluntários fazem fila para levar choque em feira de material bélico no Rio,"Eu dou um 
choque de 50 mil volts e o cara me agradece"", diz Eduardo Terra, instrutor no funcionamento da pistola Taser, 
uma arma não-letal para uso 
da polícia e das Forças Armadas que causava ...",http://www1.folha.uol.com.br/fsp/brasil/fc2304200714.htm,2007-04-23
85,88,5.dez.2003 às 13h37,Folha de S.Paulo - Bbc,Líbano quer comprar armamentos do Brasil para vender ao Iraque,"Um grupo de trading libanês entrou em contato com o governo brasileiro para tentar comprar armamento não-letal do país para vendê-lo ao Iraque.O interesse é em equipamentos como capacetes, ...",http://www1.folha.uol.com.br/folha/bbc/ult272u26701.shtml,2003-12-05
86,30,5.dez.2003 às 13h37,Folha de S.Paulo - Bbc,Líbano quer comprar armamentos do Brasil para vender ao Iraque,"Um grupo de trading libanês entrou em contato com o governo brasileiro para tentar comprar armamento não-letal do país para vendê-lo ao Iraque.O interesse é em equipamentos como capacetes, ...",http://www1.folha.uol.com.br/folha/bbc/ult272u26701.shtml,2003-12-05
87,100,5.dez.2003 às 13h37,Folha de S.Paulo - Bbc,Líbano quer comprar armamentos do Brasil para vender ao Iraque,"Um grupo de trading libanês entrou em contato com o governo brasileiro para tentar comprar armamento não-letal do país para vendê-lo ao Iraque.O interesse é em equipamentos como capacetes, ...",http://www1.folha.uol.com.br/folha/bbc/ult272u26701.shtml,2003-12-05
88,111,5.dez.2003 às 13h37,Folha de S.Paulo - Bbc,Líbano quer comprar armamentos do Brasil para vender ao Iraque,"Um grupo de trading libanês entrou em contato com o governo brasileiro para tentar comprar armamento não-letal do país para vendê-lo ao Iraque.O interesse é em equipamentos como capacetes, ...",http://www1.folha.uol.com.br/folha/bbc/ult272u26701.shtml,2003-12-05
89,130,5.dez.2003 às 13h37,Folha de S.Paulo - Bbc,Líbano quer comprar armamentos do Brasil para vender ao Iraque,"Um grupo de trading libanês entrou em contato com o governo brasileiro para tentar comprar armamento não-letal do país para vendê-lo ao Iraque.O interesse é em equipamentos como capacetes, ...",http://www1.folha.uol.com.br/folha/bbc/ult272u26701.shtml,2003-12-05
90,13,5.dez.2003 às 13h37,Folha de S.Paulo - Bbc,Líbano quer comprar armamentos do Brasil para vender ao Iraque,"Um grupo de trading libanês entrou em contato com o governo brasileiro para tentar comprar armamento não-letal do país para vendê-lo ao Iraque.O interesse é em equipamentos como capacetes, ...",http://www1.folha.uol.com.br/folha/bbc/ult272u26701.shtml,2003-12-05
91,75,5.dez.2003 às 13h37,Folha de S.Paulo - Bbc,Líbano quer comprar armamentos do Brasil para vender ao Iraque,"Um grupo de trading libanês entrou em contato com o governo brasileiro para tentar comprar armamento não-letal do país para vendê-lo ao Iraque.O interesse é em equipamentos como capacetes, ...",http://www1.folha.uol.com.br/folha/bbc/ult272u26701.shtml,2003-12-05
92,61,5.dez.2003 às 13h37,Folha de S.Paulo - Bbc,Líbano quer comprar armamentos do Brasil para vender ao Iraque,"Um grupo de trading libanês entrou em contato com o governo brasileiro para tentar comprar armamento não-letal do país para vendê-lo ao Iraque.O interesse é em equipamentos como capacetes, ...",http://www1.folha.uol.com.br/folha/bbc/ult272u26701.shtml,2003-12-05
93,46,5.dez.2003 às 13h37,Folha de S.Paulo - Bbc,Líbano quer comprar armamentos do Brasil para vender ao Iraque,"Um grupo de trading libanês entrou em contato com o governo brasileiro para tentar comprar armamento não-letal do país para vendê-lo ao Iraque.O interesse é em equipamentos como capacetes, ...",http://www1.folha.uol.com.br/folha/bbc/ult272u26701.shtml,2003-12-05
94,121,5.dez.2003 às 13h37,Folha de S.Paulo - Bbc,Líbano quer comprar armamentos do Brasil para vender ao Iraque,"Um grupo de trading libanês entrou em contato com o governo brasileiro para tentar comprar armamento não-letal do país para vendê-lo ao Iraque.O interesse é em equipamentos como capacetes, ...",http://www1.folha.uol.com.br/folha/bbc/ult272u26701.shtml,2003-12-05
95,131,30.abr.2003 às 4h59,Folha de S.Paulo - Cotidiano,Feira em SP mostra apetrechos não-letais,"Uma arma chamada não-letal pode até matar se não for usada adequadamente"", disse José Danghesi, diretor da Interdefesa.Segundo José Carlos Ramalho, representante da Welser Itage, que comercializa ...",http://www1.folha.uol.com.br/folha/cotidiano/ult95u73954.shtml,2003-04-30
96,122,30.abr.2003 às 4h59,Folha de S.Paulo - Cotidiano,Feira em SP mostra apetrechos não-letais,"Uma arma chamada não-letal pode até matar se não for usada adequadamente"", disse José Danghesi, diretor da Interdefesa.Segundo José Carlos Ramalho, representante da Welser Itage, que comercializa ...",http://www1.folha.uol.com.br/folha/cotidiano/ult95u73954.shtml,2003-04-30
97,48,30.abr.2003 à 0h00,,Segurança: Feira em SP mostra apetrechos não-letais,"""Uma arma chamada não-letal 
pode até matar se não for usada 
adequadamente"", disse José Danghesi, diretor da Interdefesa. ...",http://www1.folha.uol.com.br/fsp/cotidian/ff3004200313.htm,2003-04-30
98,47,30.abr.2003 às 4h59,Folha de S.Paulo - Cotidiano,Feira em SP mostra apetrechos não-letais,"Uma arma chamada não-letal pode até matar se não for usada adequadamente"", disse José Danghesi, diretor da Interdefesa.Segundo José Carlos Ramalho, representante da Welser Itage, que comercializa ...",http://www1.folha.uol.com.br/folha/cotidiano/ult95u73954.shtml,2003-04-30
99,112,30.abr.2003 às 4h59,Folha de S.Paulo - Cotidiano,Feira em SP mostra apetrechos não-letais,"Uma arma chamada não-letal pode até matar se não for usada adequadamente"", disse José Danghesi, diretor da Interdefesa.Segundo José Carlos Ramalho, representante da Welser Itage, que comercializa ...",http://www1.folha.uol.com.br/folha/cotidiano/ult95u73954.shtml,2003-04-30
100,113,30.abr.2003 à 0h00,,Segurança: Feira em SP mostra apetrechos não-letais,"""Uma arma chamada não-letal 
pode até matar se não for usada 
adequadamente"", disse José Danghesi, diretor da Interdefesa. ...",http://www1.folha.uol.com.br/fsp/cotidian/ff3004200313.htm,2003-04-30
101,15,30.abr.2003 à 0h00,,Segurança: Feira em SP mostra apetrechos não-letais,"""Uma arma chamada não-letal 
pode até matar se não for usada 
adequadamente"", disse José Danghesi, diretor da Interdefesa. ...",http://www1.folha.uol.com.br/fsp/cotidian/ff3004200313.htm,2003-04-30
